report_date,yesterday_redeem,week1_redeem,week2_redeem,week3_redeem,week4_redeem,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork,yesterday_purchase,relative_days
20130701,,,,,,1,0,0,0,0,0,0,,,,0
20130702,5525022,,,,,0,1,0,0,0,0,0,,,32488348,0
20130703,2554548,,,,,0,0,1,0,0,0,0,,,29037390,0
20130704,5953867,,,,,0,0,0,1,0,0,0,,,27270770,0
20130705,6410729,,,,,0,0,0,0,1,0,0,,,18321185,0
20130706,2763587,,,,,0,0,0,0,0,1,0,,,11648749,0
20130707,1616635,,,,,0,0,0,0,0,0,1,,,36751272,0
20130708,3982735,5525022,,,,1,0,0,0,0,0,0,,,8962232,1
20130709,8347729,2554548,,,,0,1,0,0,0,0,0,,,57258266,1
20130710,3473059,5953867,,,,0,0,1,0,0,0,0,,,26798941,1
20130711,2597169,6410729,,,,0,0,0,1,0,0,0,,,30696506,1
20130712,3508800,2763587,,,,0,0,0,0,1,0,0,,,44075197,1
20130713,8492573,1616635,,,,0,0,0,0,0,1,0,,,34183904,1
20130714,3482829,3982735,,,,0,0,0,0,0,0,1,,,15164717,1
20130715,2784107,8347729,5525022,,,1,0,0,0,0,0,0,,,22615303,2
20130716,13107943,3473059,2554548,,,0,1,0,0,0,0,0,,,48128555,2
20130717,11864981,2597169,5953867,,,0,0,1,0,0,0,0,,,50622847,2
20130718,10911513,3508800,6410729,,,0,0,0,1,0,0,0,,,29015682,2
20130719,11765356,8492573,2763587,,,0,0,0,0,1,0,0,,,24234505,2
20130720,9244769,3482829,1616635,,,0,0,0,0,0,1,0,,,33680124,2
20130721,4601143,2784107,3982735,,,0,0,0,0,0,0,1,,,20439079,2
20130722,2681331,13107943,8347729,5525022,,1,0,0,0,0,0,0,,,21142394,3
20130723,19144267,11864981,3473059,2554548,,0,1,0,0,0,0,0,,,40448896,3
20130724,24404051,10911513,2597169,5953867,,0,0,1,0,0,0,0,,,58136147,3
20130725,36258592,11765356,3508800,6410729,,0,0,0,1,0,0,0,,,48422518,3
20130726,38212836,9244769,8492573,2763587,,0,0,0,0,1,0,0,,,57433418,3
20130727,39192369,4601143,3482829,1616635,,0,0,0,0,0,1,0,,,44721817,3
20130728,15058893,2681331,2784107,3982735,,0,0,0,0,0,0,1,,,17194451,3
20130729,7683211,19144267,13107943,8347729,5525022,1,0,0,0,0,0,0,,,36255382,4
20130730,18599364,24404051,11864981,3473059,2554548,0,1,0,0,0,0,0,,,53512076,4
20130731,13048582,36258592,10911513,2597169,5953867,0,0,1,0,0,0,0,,,47481243,4
20130801,9534040,38212836,11765356,3508800,6410729,0,0,0,1,0,0,0,,,54569637,4
20130802,18864468,39192369,9244769,8492573,2763587,0,0,0,0,1,0,0,,,53369962,4
20130803,40150769,15058893,4601143,3482829,1616635,0,0,0,0,0,1,0,,,38064536,4
20130804,20701797,7683211,2681331,2784107,3982735,0,0,0,0,0,0,1,,,21595789,4
20130805,8263965,18599364,19144267,13107943,8347729,1,0,0,0,0,0,0,,,45745254,5
20130806,15797507,13048582,24404051,11864981,3473059,0,1,0,0,0,0,0,,,43632203,5
20130807,16401387,9534040,36258592,10911513,2597169,0,0,1,0,0,0,0,,,50866184,5
20130808,29708706,18864468,38212836,11765356,3508800,0,0,0,1,0,0,0,,,43908081,5
20130809,29551691,40150769,39192369,9244769,8492573,0,0,0,0,1,0,0,,,44493490,5
20130810,30131015,20701797,15058893,4601143,3482829,0,0,0,0,0,1,0,,,33425186,5
20130811,26614408,8263965,7683211,2681331,2784107,0,0,0,0,0,0,1,,,20615307,5
20130812,15372680,15797507,18599364,19144267,13107943,1,0,0,0,0,0,0,,,55519543,6
20130813,28586669,16401387,13048582,24404051,11864981,0,1,0,0,0,0,0,,,94520502,6
20130814,28790328,29708706,9534040,36258592,10911513,0,0,1,0,0,0,0,,,48720919,6
20130815,15031683,29551691,18864468,38212836,11765356,0,0,0,1,0,0,0,,,30541167,6
20130816,52659327,30131015,40150769,39192369,9244769,0,0,0,0,1,0,0,,,42421222,6
20130817,33739844,26614408,20701797,15058893,4601143,0,0,0,0,0,1,0,,,41683536,6
20130818,4674983,15372680,8263965,7683211,2681331,0,0,0,0,0,0,1,,,17670519,6
20130819,15218300,28586669,15797507,18599364,19144267,1,0,0,0,0,0,0,,,59703092,7
20130820,28339260,28790328,16401387,13048582,24404051,0,1,0,0,0,0,0,,,109184209,7
20130821,30131225,15031683,29708706,9534040,36258592,0,0,1,0,0,0,0,,,53675509,7
20130822,29983342,52659327,29551691,18864468,38212836,0,0,0,1,0,0,0,,,38184446,7
20130823,25000672,33739844,30131015,40150769,39192369,0,0,0,0,1,0,0,,,89130737,7
20130824,25680323,4674983,26614408,20701797,15058893,0,0,0,0,0,1,0,,,37878575,7
20130825,14316598,15218300,15372680,8263965,7683211,0,0,0,0,0,0,1,,,44367268,7
20130826,18117808,28339260,28586669,15797507,18599364,1,0,0,0,0,0,0,,,43306288,8
20130827,20637986,30131225,28790328,16401387,13048582,0,1,0,0,0,0,0,,,74496541,8
20130828,60137633,29983342,15031683,29708706,9534040,0,0,1,0,0,0,0,,,45268028,8
20130829,33696861,25000672,52659327,29551691,18864468,0,0,0,1,0,0,0,,,46602319,8
20130830,35944968,25680323,33739844,30131015,40150769,0,0,0,0,1,0,0,,,47518666,8
20130831,20630752,14316598,4674983,26614408,20701797,0,0,0,0,0,1,0,,,56488844,8
20130901,22012016,18117808,15218300,15372680,8263965,0,0,0,0,0,0,1,,,47655303,8
20130902,59339949,20637986,28339260,28586669,15797507,1,0,0,0,0,0,0,,,56239802,9
20130903,17785524,60137633,30131225,28790328,16401387,0,1,0,0,0,0,0,,,140844739,9
20130904,39328144,33696861,29983342,15031683,29708706,0,0,1,0,0,0,0,,,80507880,9
20130905,27452600,35944968,25000672,52659327,29551691,0,0,0,1,0,0,0,,,33366708,9
20130906,21800904,20630752,25680323,33739844,30131015,0,0,0,0,1,0,0,,,38716505,9
20130907,33417903,22012016,14316598,4674983,26614408,0,0,0,0,0,1,0,,,38923186,9
20130908,20344424,59339949,18117808,15218300,15372680,0,0,0,0,0,0,1,,,34076183,9
20130909,14919122,17785524,20637986,28339260,28586669,1,0,0,0,0,0,0,,,38796909,10
20130910,45621186,39328144,60137633,30131225,28790328,0,1,0,0,0,0,0,,,49312473,10
20130911,37128363,27452600,33696861,29983342,15031683,0,0,1,0,0,0,0,,,94684143,10
20130912,71674082,21800904,35944968,25000672,52659327,0,0,0,1,0,0,0,,,98944459,10
20130913,45147220,33417903,20630752,25680323,33739844,0,0,0,0,1,0,0,,,68573684,10
20130914,60512675,20344424,22012016,14316598,4674983,0,0,0,0,0,1,0,,,71655946,10
20130915,36312660,14919122,59339949,18117808,15218300,0,0,0,0,0,0,1,,,30975443,10
20130916,25020715,45621186,17785524,20637986,28339260,1,0,0,0,0,0,0,,,37059683,11
20130917,45184589,37128363,39328144,60137633,30131225,0,1,0,0,0,0,0,,,161656210,11
20130918,58260798,71674082,27452600,33696861,29983342,0,0,1,0,0,0,0,,,76204815,11
20130919,47203221,45147220,21800904,35944968,25000672,0,0,0,1,0,0,0,,,42926608,11
20130920,11418512,60512675,33417903,20630752,25680323,0,0,0,0,1,0,0,,,24778048,11
20130921,15188254,36312660,20344424,22012016,14316598,0,0,0,0,0,1,0,,,28365762,11
20130922,26596179,25020715,14919122,59339949,18117808,0,0,0,0,0,0,1,,,32406340,11
20130923,47962055,45184589,45621186,17785524,20637986,1,0,0,0,0,0,0,,,67514169,12
20130924,58285879,58260798,37128363,39328144,60137633,0,1,0,0,0,0,0,,,54658160,12
20130925,56680792,47203221,71674082,27452600,33696861,0,0,1,0,0,0,0,,,74250859,12
20130926,74838162,11418512,45147220,21800904,35944968,0,0,0,1,0,0,0,,,47274168,12
20130927,48467529,15188254,60512675,33417903,20630752,0,0,0,0,1,0,0,,,68718693,12
20130928,27639603,26596179,36312660,20344424,22012016,0,0,0,0,0,1,0,,,42166121,12
20130929,58105720,47962055,25020715,14919122,59339949,0,0,0,0,0,0,1,,,39995798,12
20130930,40295202,58285879,45184589,45621186,17785524,1,0,0,0,0,0,0,,,34433848,13
20131001,30181353,56680792,58260798,37128363,39328144,0,1,0,0,0,0,0,,,28398050,13
20131002,12813267,74838162,47203221,71674082,27452600,0,0,1,0,0,0,0,,,19137499,13
20131003,7233874,48467529,11418512,45147220,21800904,0,0,0,1,0,0,0,,,11562708,13
20131004,6223263,27639603,15188254,60512675,33417903,0,0,0,0,1,0,0,,,10101194,13
20131005,23412350,58105720,26596179,36312660,20344424,0,0,0,0,0,1,0,,,19907689,13
20131006,13966453,40295202,47962055,25020715,14919122,0,0,0,0,0,0,1,,,26364686,13
20131007,13464528,30181353,58285879,45184589,45621186,1,0,0,0,0,0,0,,,38730653,14
20131008,28894400,12813267,56680792,58260798,37128363,0,1,0,0,0,0,0,,,42797733,14
20131009,77856096,7233874,74838162,47203221,71674082,0,0,1,0,0,0,0,,,109806912,14
20131010,33999376,6223263,48467529,11418512,45147220,0,0,0,1,0,0,0,,,72422299,14
20131011,52244531,23412350,27639603,15188254,60512675,0,0,0,0,1,0,0,,,72094613,14
20131012,27666473,13966453,58105720,26596179,36312660,0,0,0,0,0,1,0,,,82674757,14
20131013,31322983,13464528,40295202,47962055,25020715,0,0,0,0,0,0,1,,,81901136,14
20131014,31850475,28894400,30181353,58285879,45184589,1,0,0,0,0,0,0,,,71149981,15
20131015,40652625,77856096,12813267,56680792,58260798,0,1,0,0,0,0,0,,,130315300,15
20131016,35099198,33999376,7233874,74838162,47203221,0,0,1,0,0,0,0,,,85704304,15
20131017,51261982,52244531,6223263,48467529,11418512,0,0,0,1,0,0,0,,,100948091,15
20131018,23274764,27666473,23412350,27639603,15188254,0,0,0,0,1,0,0,,,87203217,15
20131019,15938355,31322983,13966453,58105720,26596179,0,0,0,0,0,1,0,,,98151450,15
20131020,26684697,31850475,13464528,40295202,47962055,0,0,0,0,0,0,1,,,53148443,15
20131021,50884342,40652625,28894400,30181353,58285879,1,0,0,0,0,0,0,,,47766681,16
20131022,45781403,35099198,77856096,12813267,56680792,0,1,0,0,0,0,0,,,106030290,16
20131023,96172537,51261982,33999376,7233874,74838162,0,0,1,0,0,0,0,,,145611496,16
20131024,73788462,23274764,52244531,6223263,48467529,0,0,0,1,0,0,0,,,106093112,16
20131025,58183921,15938355,27666473,23412350,27639603,0,0,0,0,1,0,0,,,69530830,16
20131026,52225802,26684697,31322983,13966453,58105720,0,0,0,0,0,1,0,,,69936453,16
20131027,49357211,50884342,31850475,13464528,40295202,0,0,0,0,0,0,1,,,55752506,16
20131028,46520570,45781403,40652625,28894400,30181353,1,0,0,0,0,0,0,,,68007543,17
20131029,55089464,96172537,35099198,77856096,12813267,0,1,0,0,0,0,0,,,129993375,17
20131030,43052468,73788462,51261982,33999376,7233874,0,0,1,0,0,0,0,,,102050144,17
20131031,63908701,58183921,23274764,52244531,6223263,0,0,0,1,0,0,0,,,109663260,17
20131101,55607833,52225802,15938355,27666473,23412350,0,0,0,0,1,0,0,,,90926701,17
20131102,66933119,49357211,26684697,31322983,13966453,0,0,0,0,0,1,0,,,150904945,17
20131103,26705506,46520570,50884342,31850475,13464528,0,0,0,0,0,0,1,,,62132300,17
20131104,30895754,55089464,45781403,40652625,28894400,1,0,0,0,0,0,0,,,68707870,18
20131105,130970051,43052468,96172537,35099198,77856096,0,1,0,0,0,0,0,,,300027403,18
20131106,82689864,63908701,73788462,51261982,33999376,0,0,1,0,0,0,0,,,180904814,18
20131107,131707820,55607833,58183921,23274764,52244531,0,0,0,1,0,0,0,,,181474910,18
20131108,83306452,66933119,52225802,15938355,27666473,0,0,0,0,1,0,0,,,167963464,18
20131109,92856307,26705506,49357211,26684697,31322983,0,0,0,0,0,1,0,,,231749471,18
20131110,45885771,30895754,46520570,50884342,31850475,0,0,0,0,0,0,1,,,126467028,18
20131111,85293644,130970051,55089464,45781403,40652625,1,0,0,0,0,0,0,,,164813471,19
20131112,227124951,82689864,43052468,96172537,35099198,0,1,0,0,0,0,0,,,147986439,19
20131113,131263524,131707820,63908701,73788462,51261982,0,0,1,0,0,0,0,,,148469647,19
20131114,79121440,83306452,55607833,58183921,23274764,0,0,0,1,0,0,0,,,174554976,19
20131115,52554150,92856307,66933119,52225802,15938355,0,0,0,0,1,0,0,,,167996058,19
20131116,58210254,45885771,26705506,49357211,26684697,0,0,0,0,0,1,0,,,124270704,19
20131117,28996272,85293644,30895754,46520570,50884342,0,0,0,0,0,0,1,,,118085705,19
20131118,42358155,227124951,130970051,55089464,45781403,1,0,0,0,0,0,0,,,111786622,20
20131119,136916782,131263524,82689864,43052468,96172537,0,1,0,0,0,0,0,,,195766477,20
20131120,70308235,79121440,131707820,63908701,73788462,0,0,1,0,0,0,0,,,131365419,20
20131121,86951218,52554150,83306452,55607833,58183921,0,0,0,1,0,0,0,,,166163002,20
20131122,74733962,58210254,92856307,66933119,52225802,0,0,0,0,1,0,0,,,221166938,20
20131123,82717921,28996272,45885771,26705506,49357211,0,0,0,0,0,1,0,,,128528687,20
20131124,48882131,42358155,85293644,30895754,46520570,0,0,0,0,0,0,1,,,89109018,20
20131125,85555947,136916782,227124951,130970051,55089464,1,0,0,0,0,0,0,,,102394991,21
20131126,70113127,70308235,131263524,82689864,43052468,0,1,0,0,0,0,0,,,147143602,21
20131127,65802983,86951218,79121440,131707820,63908701,0,0,1,0,0,0,0,,,258037702,21
20131128,86129498,74733962,52554150,83306452,55607833,0,0,0,1,0,0,0,,,134774128,21
20131129,61453591,82717921,58210254,92856307,66933119,0,0,0,0,1,0,0,,,139760425,21
20131130,123982166,48882131,28996272,45885771,26705506,0,0,0,0,0,1,0,,,122536344,21
20131201,119660311,85555947,42358155,85293644,30895754,0,0,0,0,0,0,1,,,116865492,21
20131202,94632233,70113127,136916782,227124951,130970051,1,0,0,0,0,0,0,,,137889992,22
20131203,128465086,65802983,70308235,131263524,82689864,0,1,0,0,0,0,0,,,345313258,22
20131204,101662045,86129498,86951218,79121440,131707820,0,0,1,0,0,0,0,,,268666856,22
20131205,69981329,61453591,74733962,52554150,83306452,0,0,0,1,0,0,0,,,219456372,22
20131206,118256819,123982166,82717921,58210254,92856307,0,0,0,0,1,0,0,,,190825287,22
20131207,82625571,119660311,48882131,28996272,45885771,0,0,0,0,0,1,0,,,152197159,22
20131208,71916047,94632233,85555947,42358155,85293644,0,0,0,0,0,0,1,,,138882605,22
20131209,76314292,128465086,70113127,136916782,227124951,1,0,0,0,0,0,0,,,124886903,23
20131210,133355299,101662045,65802983,70308235,131263524,0,1,0,0,0,0,0,,,174652812,23
20131211,147147341,69981329,86129498,86951218,79121440,0,0,1,0,0,0,0,,,179471612,23
20131212,110314592,118256819,61453591,74733962,52554150,0,0,0,1,0,0,0,,,239916977,23
20131213,92090275,82625571,123982166,82717921,58210254,0,0,0,0,1,0,0,,,140360007,23
20131214,90778214,71916047,119660311,48882131,28996272,0,0,0,0,0,1,0,,,164672690,23
20131215,52234651,76314292,94632233,85555947,42358155,0,0,0,0,0,0,1,,,129045596,23
20131216,54757146,133355299,128465086,70113127,136916782,1,0,0,0,0,0,0,,,205882387,24
20131217,156157326,147147341,101662045,65802983,70308235,0,1,0,0,0,0,0,,,196489931,24
20131218,116537843,110314592,69981329,86129498,86951218,0,0,1,0,0,0,0,,,193980797,24
20131219,202220872,92090275,118256819,61453591,74733962,0,0,0,1,0,0,0,,,180215804,24
20131220,164023344,90778214,82625571,123982166,82717921,0,0,0,0,1,0,0,,,233631357,24
20131221,153678963,52234651,71916047,119660311,48882131,0,0,0,0,0,1,0,,,133867400,24
20131222,83151594,54757146,76314292,94632233,85555947,0,0,0,0,0,0,1,,,112000779,24
20131223,83998249,156157326,133355299,128465086,70113127,1,0,0,0,0,0,0,,,154543217,25
20131224,138478245,116537843,147147341,101662045,65802983,0,1,0,0,0,0,0,,,198747367,25
20131225,118607911,202220872,110314592,69981329,86129498,0,0,1,0,0,0,0,,,305406334,25
20131226,172755480,164023344,92090275,118256819,61453591,0,0,0,1,0,0,0,,,380076148,25
20131227,241852564,153678963,90778214,82625571,123982166,0,0,0,0,1,0,0,,,220287409,25
20131228,163522548,83151594,52234651,71916047,119660311,0,0,0,0,0,1,0,,,211118967,25
20131229,61383220,83998249,54757146,76314292,94632233,0,0,0,0,0,0,1,,,192808006,25
20131230,55129989,138478245,156157326,133355299,128465086,1,0,0,0,0,0,0,,,161473347,26
20131231,179826624,118607911,116537843,147147341,101662045,0,1,0,0,0,0,0,,,286358778,26
20140101,134232530,172755480,202220872,110314592,69981329,0,0,1,0,0,0,0,,,265851934,26
20140102,77367755,241852564,164023344,92090275,118256819,0,0,0,1,0,0,0,,,330926565,26
20140103,190155450,163522548,153678963,90778214,82625571,0,0,0,0,1,0,0,,,434956739,26
20140104,127714255,61383220,83151594,52234651,71916047,0,0,0,0,0,1,0,,,342074805,26
20140105,99869074,55129989,83998249,54757146,76314292,0,0,0,0,0,0,1,,,186085910,26
20140106,156781996,179826624,138478245,156157326,133355299,1,0,0,0,0,0,0,,,206030707,27
20140107,190917629,134232530,118607911,116537843,147147341,0,1,0,0,0,0,0,,,442494042,27
20140108,137972793,77367755,172755480,202220872,110314592,0,0,1,0,0,0,0,,,589726496,27
20140109,213880074,190155450,241852564,164023344,92090275,0,0,0,1,0,0,0,,,264025160,27
20140110,140391237,127714255,163522548,153678963,90778214,0,0,0,0,1,0,0,,,280698487,27
20140111,117259153,99869074,61383220,83151594,52234651,0,0,0,0,0,1,0,,,237797636,27
20140112,71530182,156781996,55129989,83998249,54757146,0,0,0,0,0,0,1,,,243403438,27
20140113,141505812,190917629,179826624,138478245,156157326,1,0,0,0,0,0,0,,,228255344,28
20140114,178923772,137972793,134232530,118607911,116537843,0,1,0,0,0,0,0,,,447207050,28
20140115,159778389,213880074,77367755,172755480,202220872,0,0,1,0,0,0,0,,,356907128,28
20140116,177618247,140391237,190155450,241852564,164023344,0,0,0,1,0,0,0,,,391408718,28
20140117,153167426,117259153,127714255,163522548,153678963,0,0,0,0,1,0,0,,,374947083,28
20140118,127385210,71530182,99869074,61383220,83151594,0,0,0,0,0,1,0,,,345426853,28
20140119,142869842,141505812,156781996,55129989,83998249,0,0,0,0,0,0,1,,,233200688,28
20140120,117629351,178923772,190917629,179826624,138478245,1,0,0,0,0,0,0,,,185082022,29
20140121,442996084,159778389,137972793,134232530,118607911,0,1,0,0,0,0,0,,,335761027,29
20140122,302825136,177618247,213880074,77367755,172755480,0,0,1,0,0,0,0,,,412854611,29
20140123,292856188,153167426,140391237,190155450,241852564,0,0,0,1,0,0,0,,,498730606,29
20140124,209024328,127385210,117259153,127714255,163522548,0,0,0,0,1,0,0,,,481450097,29
20140125,345829001,142869842,71530182,99869074,61383220,0,0,0,0,0,1,0,,,614103894,29
20140126,185524856,117629351,141505812,156781996,55129989,0,0,0,0,0,0,1,,,440854623,29
20140127,331752519,442996084,178923772,190917629,179826624,1,0,0,0,0,0,0,,,528402520,30
20140128,280645861,302825136,159778389,137972793,134232530,0,1,0,0,0,0,0,,,657199484,30
20140129,248334316,292856188,177618247,213880074,77367755,0,0,1,0,0,0,0,,,843424742,30
20140130,215164666,209024328,153167426,140391237,190155450,0,0,0,1,0,0,0,,,952479658,30
20140131,105288105,345829001,127385210,117259153,127714255,0,0,0,0,1,0,0,,,227916211,30
20140201,48132389,185524856,142869842,71530182,99869074,0,0,0,0,0,1,0,,,87324175,30
20140202,61527060,331752519,117629351,141505812,156781996,0,0,0,0,0,0,1,,,64287172,30
20140203,24395720,280645861,442996084,178923772,190917629,1,0,0,0,0,0,0,,,57912761,31
20140204,46109194,248334316,302825136,159778389,137972793,0,1,0,0,0,0,0,,,84329848,31
20140205,44927333,215164666,292856188,177618247,213880074,0,0,1,0,0,0,0,,,83653646,31
20140206,95407704,105288105,209024328,153167426,140391237,0,0,0,1,0,0,0,,,209043990,31
20140207,111635336,48132389,345829001,127385210,117259153,0,0,0,0,1,0,0,,,227860276,31
20140208,273482213,61527060,185524856,142869842,71530182,0,0,0,0,0,1,0,,,578818221,31
20140209,183432237,24395720,331752519,117629351,141505812,0,0,0,0,0,0,1,,,358255468,31
20140210,262954049,46109194,280645861,442996084,178923772,1,0,0,0,0,0,0,,,341911234,32
20140211,431753411,44927333,248334316,302825136,159778389,0,1,0,0,0,0,0,,,647465140,32
20140212,243058162,95407704,215164666,292856188,177618247,0,0,1,0,0,0,0,,,818803205,32
20140213,354585919,111635336,105288105,209024328,153167426,0,0,0,1,0,0,0,,,763009770,32
20140214,362757986,273482213,48132389,345829001,127385210,0,0,0,0,1,0,0,,,626698794,32
20140215,263261899,183432237,61527060,185524856,142869842,0,0,0,0,0,1,0,,,490710434,32
20140216,121463693,262954049,24395720,331752519,117629351,0,0,0,0,0,0,1,,,255393179,32
20140217,183057224,431753411,46109194,280645861,442996084,1,0,0,0,0,0,0,,,331324628,33
